colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,thank.keys,thank.rt,date,frameRate,expName,session,participant
yellow,green,0,y,0,11,11,11,y,1,1.2902929783,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,blue,1,b,0,12,12,12,b,1,1.3523948193,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
green,yellow,0,g,0,13,13,13,g,1,1.3323090076,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
blue,green,0,b,0,14,14,14,b,1,1.2245240212,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
yellow,blue,0,y,0,15,15,15,y,1,1.0951309204,,,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
,,,,,,,,,,,b,1.1366090775,2018+AF8-feb+AF8-10+AF8-1729,464.146249696,stroop,1,matilde
red,red,1,r,0,0,0,0,r,1,0.8605570793,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,blue,0,r,0,1,1,1,r,1,1.9034490585,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,blue,0,g,0,2,2,2,g,1,1.611620903,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,green,1,g,0,3,3,3,g,1,0.5793249607,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,red,0,y,0,4,4,4,y,1,1.6615982056,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,red,0,g,0,5,5,5,g,1,1.1611859798,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,yellow,0,b,0,6,6,6,b,1,1.5601608753,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,green,0,r,0,7,7,7,r,1,1.3327000141,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,red,0,b,0,8,8,8,b,1,0.6893429756,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,yellow,1,y,0,9,9,9,y,1,1.6170070171,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,yellow,0,r,0,10,10,10,r,1,1.6614511013,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,green,0,y,0,11,11,11,g,0,1.2457149029,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,blue,1,b,0,12,12,12,b,1,1.0940868855,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
green,yellow,0,g,0,13,13,13,g,1,0.9896512032,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
blue,green,0,b,0,14,14,14,b,1,1.1422748566,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
yellow,blue,0,y,0,15,15,15,y,1,1.4410951138,,,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
,,,,,,,,,,,return,0.9790699482,2018+AF8-feb+AF8-10+AF8-1732,457.144850136,stroop,1,rocco
red,red,1,r,0,0,0,0,r,1,0.8082020283,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
red,blue,0,r,0,1,1,1,b,0,2.2461059094,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
green,blue,0,g,0,2,2,2,g,1,2.044919014,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
green,green,1,g,0,3,3,3,g,1,1.0760951042,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
yellow,red,0,y,0,4,4,4,y,1,1.4464089871,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
green,red,0,g,0,5,5,5,g,1,1.5105531216,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
blue,yellow,0,b,0,6,6,6,b,1,1.1581709385,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
red,green,0,r,0,7,7,7,r,1,1.2229290009,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
blue,red,0,b,0,8,8,8,b,1,1.4763090611,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
yellow,yellow,1,y,0,9,9,9,y,1,0.9036960602,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
red,yellow,0,r,0,10,10,10,r,1,1.080591917,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
yellow,green,0,y,0,11,11,11,y,1,1.8862271309,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
blue,blue,1,b,0,12,12,12,b,1,1.2363829613,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
green,yellow,0,g,0,13,13,13,g,1,1.9630758762,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
blue,green,0,b,0,14,14,14,b,1,0.8571119308,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
yellow,blue,0,y,0,15,15,15,y,1,1.2320740223,,,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
,,,,,,,,,,,b,1.0086369515,2018+AF8-feb+AF8-10+AF8-1730,466.681947149,stroop,1,sara
